GrPetYear,pe,shr,rvn,opInm,eps,tAssts,tEqu,bvps,ROtA,5meanROtA,cur,old
IOG.L,-0.78,32.01,-100.0,0.0,9.99,32.42,-17.69,-13.4,-13.78,-8.43,GBP,2013
IOLCP.NS,16.06,8.91,16.44,13.79,39.17,11.8,24.54,22.53,8.4,11.59,INR,2014
IOM.L,26.8,0.61,8.47,0.36,-1.45,6.89,7.13,7.08,8.42,13.81,GBP,2014
IONC.CN,0.0,249.18,-100.0,24.32,-62.06,18.77,0.0,0.0,0.0,-1773.94,CAD,2014
IONEXCHANG.NS,2.78,-1.94,10.76,31.01,54.91,12.81,20.79,21.21,10.09,6.17,INR,2014
IONI,-5.3,7.84,-100.0,-100.0,-100.0,-100.0,124.82,115.74,100.0,12.57,USD,2013
IONM,-0.03,49.96,-100.0,106.88,40.48,178.03,0.0,0.0,-131.87,-9.88,USD,2013
IONQ,-60.19,1.35,-100.0,133.45,-14.79,214.45,225.28,222.27,-1.92,-22.0,USD,2020
IONQ-WT,-13852.79,-100.0,782.27,133.45,-97.23,214.45,225.28,225.28,-1.92,-15.1,USD,2020
IONR,-52.57,32.62,-100.0,34.03,-9.34,47.04,46.48,35.04,-2.83,-1.16,AUD,2013
